timestamp,neighborhood,latitude,longitude,vehicle_type,primary_cause,severity,estimated_casualties,source,note
1/30/2025 15:46,Clifton,24.899737,66.993408,Motorbike,Seatbelt not worn,Minor,0,Social Media (dashcam),Seatbelt reportedly not fastened.
2/28/2025 14:35,University Road area,24.911815,67.192764,Motorbike,Overspeeding,Minor,0,Local News,
10/18/2024 12:30,Gadap Town,24.841268,66.981904,Motorbike,Driver fatigue,Minor,0,Local News,
4/25/2024 1:51,Lyari,24.986337,67.102092,Motorbike,Overtaking recklessly,Minor,0,Local News,
5/7/2025 8:33,Rashid Minhas,24.822442,67.075107,Car,Overtaking recklessly,Injury,1,Social Media (dashcam),
11/11/2024 12:00,Clifton,24.822927,66.954112,Car,Poor road condition,Serious Injury,5,Sindh Traffic Police report,
6/28/2024 21:21,Keamari,24.879357,66.780406,Motorbike,Overspeeding,Injury,2,Emergency Services (Rescue 1122),
7/17/2025 8:16,Malir,24.722007,66.942525,Car,Weather (rain),Injury,2,Local News,Wet road reported; visibility reduced.
6/23/2024 22:43,Saddar,24.778974,67.04771,Motorbike,Violating signal,Injury,1,Social Media (dashcam),
3/30/2024 13:36,Baldia,24.787358,66.840524,Motorbike,Overspeeding,Minor,0,Local News,
5/24/2024 8:28,Saddar,24.977252,66.982907,Car,Weather (rain),Minor,0,Emergency Services (Rescue 1122),Wet road reported; visibility reduced.
9/12/2024 9:37,Gulshan-e-Iqbal,24.865402,66.83903,Car,Driver fatigue,Minor,0,Social Media (dashcam),
8/19/2024 18:35,Keamari,24.816449,67.023311,Car,Distracted (phone),Minor,0,Local News,Driver using phone at time of crash (reported).
10/28/2023 14:18,Clifton,24.767921,67.055084,Motorbike,Mechanical failure,Injury,2,Local News,
9/19/2024 13:04,M.A. Jinnah Road area,24.811949,66.974997,Bicycle,Overspeeding,Injury,1,Social Media (dashcam),
11/12/2024 1:51,Landhi,24.811863,67.232273,Car,Distracted (phone),Minor,0,Emergency Services (Rescue 1122),Driver using phone at time of crash (reported).
8/2/2025 7:04,Baldia,24.85892,66.883075,Motorbike,Violating signal,Serious Injury,3,Sindh Traffic Police report,
10/20/2024 7:31,Gadap Town,24.925804,66.863499,Car,Distracted (phone),Minor,0,Sindh Traffic Police report,Driver using phone at time of crash (reported).
11/6/2024 22:30,Lyari,24.876709,66.77484,Motorbike,Violating signal,Fatal,3,Local News,
3/27/2024 2:10,DHA,24.753745,67.033623,Motorbike,Violating signal,Fatal,2,Local News,
9/25/2024 3:54,North Nazimabad,24.919077,67.030564,Motorbike,Unknown,Minor,0,Local News,
11/13/2024 21:12,Saddar,24.850748,66.973868,Car,Overtaking recklessly,Minor,0,Social Media (dashcam),
12/24/2023 8:40,Landhi,24.741718,66.923619,Motorbike,Seatbelt not worn,Injury,1,Local News,Seatbelt reportedly not fastened.
1/24/2025 8:36,Korangi,24.823149,67.136855,Car,Seatbelt not worn,Minor,0,Local News,Seatbelt reportedly not fastened.
11/13/2024 20:02,Gulshan-e-Iqbal,24.887489,66.798435,Car,Weather (rain),Serious Injury,2,Local News,Wet road reported; visibility reduced.
2/14/2025 20:19,Jinnah Quarter,24.885927,66.96379,Car,Weather (rain),Serious Injury,1,Social Media (dashcam),Wet road reported; visibility reduced.
2/4/2025 21:39,Clifton,24.805846,67.083401,Car,Overtaking recklessly,Serious Injury,1,Local News,
2/16/2024 17:45,University Road area,24.94248,67.121754,Car,Distracted (phone),Minor,0,Local News,Driver using phone at time of crash (reported).
9/8/2025 19:55,University Road area,24.792863,66.972895,Car,Driver fatigue,Serious Injury,1,Emergency Services (Rescue 1122),
7/12/2025 13:50,I.I. Chundrigar Road area,24.886501,67.127065,Car,Mechanical failure,Serious Injury,2,Local News,
7/21/2024 19:59,Shahrah-e-Faisal area,24.821666,66.987721,Car,Driver fatigue,Injury,2,Local News,
5/9/2024 11:02,Saddar,24.771493,66.866455,Motorbike,Driver fatigue,Minor,0,Local News,
10/30/2023 22:43,Keamari,24.925002,67.172749,Motorbike,Driver fatigue,Minor,0,Emergency Services (Rescue 1122),
11/23/2023 5:23,DHA,24.854239,67.130424,Motorbike,Seatbelt not worn,Minor,0,Emergency Services (Rescue 1122),Seatbelt reportedly not fastened.
12/7/2024 11:31,Malir,24.888931,66.932586,Motorbike,Mechanical failure,Injury,3,Social Media (dashcam),
9/17/2025 17:11,Landhi,24.888912,67.194564,Car,Distracted (phone),Injury,2,Local News,Driver using phone at time of crash (reported).
9/12/2025 14:09,DHA,24.857134,67.197757,Motorbike,Unknown,Fatal,1,Social Media (dashcam),
10/18/2024 22:22,Baldia,24.7,67.108628,Rickshaw,Violating signal,Serious Injury,3,Local News,
8/27/2024 8:21,University Road area,24.866964,66.974119,Motorbike,Driver fatigue,Minor,0,Sindh Traffic Police report,
5/11/2024 12:49,Clifton,24.867341,66.771492,Car,Violating signal,Injury,1,Local News,
1/3/2025 18:50,Saddar,24.842426,67.052854,Car,Poor road condition,Minor,0,Local News,
8/27/2025 9:18,Korangi,24.978232,66.947808,Motorbike,Poor road condition,Minor,0,Local News,
1/1/2024 14:39,Baldia,24.795321,66.949789,Motorbike,Driver fatigue,Injury,3,Local News,
11/19/2023 10:38,Gulshan-e-Iqbal,24.933232,67.04945,Bus,Unknown,Injury,2,Local News,
5/18/2024 10:21,Gulberg,24.817619,67.071592,Rickshaw,Seatbelt not worn,Injury,3,Local News,Seatbelt reportedly not fastened.
